"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"31","FF",2019-04-03,97.6,-1.36,5.58,"Jacob deGrom",605119,594798,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","B","null","null",0,1,2019,-0.64,1.31,0.22,1.47,NA,NA,434158,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234950",5.81880882331137,-141.866783774817,-8.64477208702579,-10.2193440232641,34.7862401734588,-12.3675450763033,3.5,1.62,NA,NA,NA,98.2,2383,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.36,"null","null","null","null","null","null","null",46,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"32","FF",2019-04-03,96,-1.38,5.65,"Jacob deGrom",605119,594798,"null","foul",NA,NA,NA,NA,4,"null","R","R","R","MIA","NYM","S","null","null",0,0,2019,-0.58,1.54,-0.79,2.22,NA,NA,434158,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234922",2.93168474550765,-139.663044024653,-7.03696858165391,-8.34638561556932,33.8857519172357,-10.3896328293029,3.46,1.55,327,NA,NA,96.5,2438,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",46,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"33","SL",2019-04-03,92.8,-1.44,5.66,"Jacob deGrom",434158,594798,"walk","ball",NA,NA,NA,NA,14,"Curtis Granderson walks.  ","R","L","R","MIA","NYM","B","null","null",3,2,2019,0.26,0.74,0.88,1.07,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234837",5.43536674899813,-134.995150172905,-7.68389748788678,2.08649642011924,27.8078041961553,-21.5328373570533,3.35,1.58,NA,NA,NA,93.8,2405,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.44,"null","null","0.70","1","0","0","null",45,6,"Slider",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"34","SL",2019-04-03,92.2,-1.55,5.66,"Jacob deGrom",434158,594798,"null","ball",NA,NA,NA,NA,14,"null","R","L","R","MIA","NYM","B","null","null",2,2,2019,0.2,0.57,1.06,1.53,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234817",6.22106363180094,-134.146926296111,-5.97441925220223,1.16192787048644,28.4058757139697,-24.1892608917947,3.37,1.62,NA,NA,NA,92.9,2391,6.6,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.55,"null","null","null","null","null","null","null",45,5,"Slider",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"35","FF",2019-04-03,96.3,-1.59,5.74,"Jacob deGrom",434158,594798,"null","ball",NA,NA,NA,NA,11,"null","R","L","R","MIA","NYM","B","null","null",1,2,2019,-0.38,1.65,-1.13,3.32,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234756",2.09770889130484,-140.203286817241,-4.59791645656336,-5.47434522566109,33.6886232630198,-9.54502108396469,3.37,1.57,NA,NA,NA,96.5,2525,6.5,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.59,"null","null","null","null","null","null","null",45,4,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"36","SL",2019-04-03,92.9,-1.75,5.65,"Jacob deGrom",434158,594798,"null","ball",NA,NA,NA,NA,13,"null","R","L","R","MIA","NYM","B","null","null",0,2,2019,0.12,0.71,-1.25,1.47,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234742",1.00575146222769,-135.365555931064,-6.56454333425434,1.34003553595729,28.1567970204488,-22.2025608056754,3.32,1.57,NA,NA,NA,93.7,2418,6.6,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.75,"null","null","null","null","null","null","null",45,3,"Slider",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"37","CH",2019-04-03,88.9,-1.38,5.61,"Jacob deGrom",434158,594798,"null","foul",NA,NA,NA,NA,7,"null","R","L","R","MIA","NYM","S","null","null",0,1,2019,-0.95,0.71,-0.32,2.1,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234725",4.71627844922526,-129.508809092848,-4.12884800313973,-11.9085867057982,27.1244307389511,-23.3620506794247,3.35,1.57,NA,NA,NA,90.2,1680,7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",45,2,"Changeup",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"38","CU",2019-04-03,83.7,-1.54,5.74,"Jacob deGrom",434158,594798,"null","called_strike",NA,NA,NA,NA,4,"null","R","L","R","MIA","NYM","S","null","null",0,0,2019,0.38,0,-0.52,2.74,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,621512,NA,"190403_234713",1.59895625615019,-122.045525311857,-0.569459925810009,3.5074288407062,22.3401966639972,-32.2757983984546,3.35,1.57,NA,NA,NA,84.2,NA,6.3,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.54,"null","null","null","null","null","null","null",45,1,"Curveball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0
"39","FF",2019-04-03,97.9,-1.27,5.62,"Jacob deGrom",670950,594798,"strikeout","called_strike",NA,NA,NA,NA,6,"Trevor Richards called out on strikes.  ","R","R","R","MIA","NYM","S","2","null",0,2,2019,-0.62,1.48,0.73,2.34,NA,594011,NA,2,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_233228",6.90429660768575,-142.426134542965,-6.91233691267717,-10.2107608836348,32.5410483837251,-10.2448045552855,3.35,1.58,NA,NA,NA,98.8,2397,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.27,"null","null","0.00","1","0","0","null",39,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Strategic",0
"40","FF",2019-04-03,97.6,-1.4,5.7,"Jacob deGrom",670950,594798,"null","foul",NA,NA,NA,NA,1,"null","R","R","R","MIA","NYM","S","null","null",0,1,2019,-0.79,1.47,-0.46,3.03,NA,594011,NA,2,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_233202",4.40185577868538,-142.106757370852,-5.11742874141646,-11.8472923813224,35.4624986654199,-11.0784188243778,3.28,1.53,NA,NA,NA,98,2423,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.4,"null","null","null","null","null","null","null",39,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
